,ID Tag,Model,WO count,AVG Labor,Labor Cost,No Problem,Avg Cost,Travel ,Travel Cost,Department,cluster
0,1,MYLAB ALPHA,10,43.333333333333336,54.166666666666664,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
125,126,IE33,17,98.47058823529412,123.08823529411764,0,0.0,1.588235294117647,119.11764705882352,CARDIAC NON-INVASIVE,0
126,127,IE33,16,81.0,101.25,0,0.0,1.5625,117.1875,CARDIAC NON-INVASIVE,0
127,128,IE33,17,111.88235294117646,139.85294117647058,1,0.0,1.5294117647058822,114.70588235294117,CARDIAC NON-INVASIVE,0
128,129,IE33,10,108.0,135.0,0,0.0,1.3,97.5,CARDIAC NON-INVASIVE,0
129,130,IU22,7,78.85714285714286,98.57142857142857,0,0.0,1.0,75.0,VASCULAR LABORATORY,0
130,131,EUB-5500,11,103.63636363636364,129.54545454545456,0,0.0,1.0,75.0,ENDOSCOPY SUITE,0
131,132,S-CATH,1,90.0,112.5,0,0.0,1.0,75.0,CATH LAB,0
132,133,LOGIQ E9,15,110.0,137.5,0,0.0,1.0,75.0,ULTRASOUND,0
133,134,X300,7,79.71428571428571,99.64285714285714,0,0.0,1.0,75.0,CARDIAC ELECTROPHYSIOLOGY,0
124,125,IE33,70,113.48571428571428,141.85714285714283,2,421.07142857142856,1.1285714285714286,84.64285714285714,CARDIAC NON-INVASIVE,0
134,135,LOGIQ E9,5,97.2,121.50000000000001,0,0.0,1.0,75.0,RADIOLOGY - MAMMOGRAPHY,0
136,137,S NERVE,2,60.0,75.0,0,0.0,1.0,75.0,ANESTHESIA,0
137,138,S NERVE,2,45.0,56.25,0,0.0,1.0,75.0,ANESTHESIA,0
138,139,CORE MOBILE,2,105.0,131.25,0,0.0,1.0,75.0,OPERATING ROOM,0
139,140,IE33,2,75.0,93.75,0,0.0,1.0,75.0,ANESTHESIA,0
140,141,SENSILASE PAD-IQ,1,120.0,150.0,0,0.0,1.0,75.0,VASCULAR LABORATORY,0
141,142,BK3000,1,120.0,150.0,0,0.0,1.0,75.0,EMERGENCY DEPARTMENT,0
142,143,INVENIA ABUS,1,90.0,112.5,0,0.0,1.0,75.0,RADIOLOGY - MAMMOGRAPHY,0
143,144,VENUE 50,5,126.0,157.5,0,0.0,1.0,75.0,X-RAY SPECIAL PROCEDURES,0
144,145,EPIQ 7C,7,182.57142857142858,228.21428571428572,0,0.0,1.0,75.0,CARDIAC NON-INVASIVE,0
135,136,S NERVE,2,45.0,56.25,0,0.0,1.0,75.0,ANESTHESIA,0
123,124,Z.ONE ULTRA,6,66.0,82.5,0,0.0,1.0,75.0,CARDIAC NON-INVASIVE,0
122,123,IE33,19,116.84210526315789,146.05263157894737,0,2.434736842105263,1.0,75.0,CARDIAC NON-INVASIVE,0
121,122,IE33,70,124.28571428571429,155.35714285714286,3,163.0857142857143,1.0,75.0,CARDIAC NON-INVASIVE,0
100,101,SONOLINE SIENNA,27,105.11111111111111,131.38888888888889,1,235.77777777777777,1.0,75.0,OPERATING ROOM,0
101,102,SONOS 1800,35,126.0,157.5,3,10.114285714285714,1.0,75.0,ANESTHESIA,0
102,103,SONOS 4500,15,82.8,103.49999999999999,0,0.0,1.0,75.0,OPERATING ROOM,0
103,104,M2424A,6,105.0,131.25,0,0.0,1.0,75.0,ANESTHESIA,0
104,105,IE33,27,109.77777777777777,137.2222222222222,0,0.0,1.0,75.0,ANESTHESIA,0
105,106,S SERIES,6,111.0,138.75,0,0.0,1.0,75.0,CARDIAC O.R.,0
106,107,S SERIES,7,95.0,118.75,1,0.0,1.0,75.0,ANESTHESIA,0
107,108,S NERVE,3,46.0,57.50000000000001,0,0.0,1.0,75.0,ANESTHESIA,0
108,109,LOGIQ P5,7,94.28571428571429,117.85714285714288,0,0.0,1.0,75.0,OPERATING ROOM,0
109,110,HAWK 2102EXL,10,123.0,153.75,0,0.0,1.0,75.0,OPERATING ROOM,0
110,111,SEQUOIA,40,126.45,158.0625,1,0.0,1.0,75.0,CARDIAC ELECTROPHYSIOLOGY,0
111,112,SITE RITE 6,5,50.4,63.0,0,0.0,1.0,75.0,CARDIAC ELECTROPHYSIOLOGY,0
112,113,S5I,42,132.71428571428572,165.89285714285717,1,140.64285714285714,1.0,75.0,CATH LAB,0
113,114,S5I,40,139.2,174.0,0,47.275,1.0,75.0,CATH LAB,0
114,115,S5I,39,113.53846153846153,141.9230769230769,1,231.44743589743592,1.0,75.0,CATH LAB,0
115,116,S5,34,103.76470588235294,129.7058823529412,1,25.352941176470587,1.0,75.0,CATH LAB,0
116,117,180 PLUS,6,61.0,76.25,0,0.0,1.0,75.0,CARDIAC CARE UNIT,0
117,118,EU-C60,5,66.0,82.5,0,0.0,1.0,75.0,OPERATING ROOM,0
118,119,BVI 9400,1,18.0,22.5,0,0.0,1.0,75.0,CLINICAL ENGINEERING DEPT,0
119,120,IE33,111,132.43243243243242,165.54054054054052,3,2.972972972972973,1.0,75.0,CARDIAC NON-INVASIVE,0
120,121,IE33,67,118.2089552238806,147.76119402985074,3,9.507462686567164,1.0,75.0,CARDIAC NON-INVASIVE,0
145,146,FLEX FOCUS 800,1,60.0,75.0,0,0.0,1.0,75.0,OPERATING ROOM,0
99,100,S NERVE,3,46.0,57.50000000000001,0,0.0,1.0,75.0,ANESTHESIA,0
146,147,EPIQ 7C,1,60.0,75.0,0,0.0,1.0,75.0,PEDIATRIC CARDIOLOGY,0
148,149,LOGIQ E9,1,120.0,150.0,0,0.0,1.0,75.0,RADIOLOGY - MAMMOGRAPHY,0
174,175,VOLUSON I,23,92.6086956521739,115.76086956521739,1,0.0,0.0,0.0,Maternal Fetal Medicine,0
175,176,VOLUSON E8,7,82.28571428571429,102.85714285714286,0,0.0,0.0,0.0,Maternal Fetal Medicine,0
176,177,VOLUSON E8,3,44.0,54.99999999999999,0,0.0,0.0,0.0,Maternal Fetal Medicine,0
177,178,SITE RITE 6,8,132.0,165.0,0,0.0,0.0,0.0,ICU,0
178,179,PIONEER TC8080,10,99.0,123.75,1,0.0,0.0,0.0,CARDIAC CATH LAB,0
179,180,S5,17,172.94117647058823,216.1764705882353,0,3.5294117647058822,0.0,0.0,CARDIAC CATH LAB,0
180,181,IE33,30,100.4,125.5,1,0.0,0.0,0.0,CARDIOPULMONARY,0
181,182,S NERVE,6,63.0,78.75,0,0.0,0.0,0.0,ANESTHESIA,0
182,183,M2540A ENVISOR,6,79.0,98.75,0,1.6666666666666667,0.0,0.0,OPERATING ROOM,0
173,174,VOLUSONE8 730 EXPERT,52,106.15384615384616,132.6923076923077,3,0.0,0.0,0.0,Maternal Fetal Medicine,0
183,184,LOGIQ 200A,5,84.0,105.0,0,0.0,0.0,0.0,LABOR/DELIVERY,0
185,186,SITE RITE 6,13,203.53846153846155,254.4230769230769,0,0.0,0.0,0.0,MED/RENAL/GASTRO,0
186,187,LOGIQ P6,12,130.0,162.5,0,0.0,0.0,0.0,LABOR/DELIVERY,0
187,188,S NERVE,5,180.0,225.0,1,0.0,0.0,0.0,ANESTHESIA,0
188,189,BVI 9400,8,97.5,121.875,0,0.0,0.0,0.0,CARDIAC/TELEMETRY,0
189,190,LOGIQ 5,1,180.0,225.0,0,0.0,0.0,0.0,OB/GYN CLINIC,0
190,191,LOGIG S8,8,98.25,122.8125,0,0.0,0.0,0.0,CARDIAC SERVICES-NON INVASIVE,0
191,192,VIVID E9,6,81.0,101.25,0,0.0,0.0,0.0,CARDIAC SERVICES-NON INVASIVE,0
192,193,LOGIQ E9,6,96.0,120.0,0,0.0,0.0,0.0,ULTRASOUND,0
193,194,M-TURBO,1,60.0,75.0,0,0.0,0.0,0.0,NEUROSCIENCE CENTER,0
184,185,SITE RITE 6,23,131.7391304347826,164.67391304347825,1,0.0,0.0,0.0,MED/RENAL/GASTRO,0
172,173,VOLUSON E8 EXPERT,55,98.2909090909091,122.86363636363636,2,218.1818181818182,0.0,0.0,Maternal Fetal Medicine,0
171,172,LOGIQ 200A,7,43.714285714285715,54.64285714285714,0,0.0,0.0,0.0,Maternal Fetal Medicine,0
170,171,SSD-ALPHA10SX,8,69.0,86.25,0,0.0,0.0,0.0,ENDOSCOPY,0
149,150,LOGIQ E9,1,120.0,150.0,0,0.0,1.0,75.0,RADIOLOGY - MAMMOGRAPHY,0
150,151,LOGIQ E9,1,90.0,112.5,0,0.0,1.0,75.0,ULTRASOUND,0
151,152,BVI 9400,1,102.0,127.5,0,0.0,1.0,75.0,PEDIATRIC INTENSIVE CARE,0
152,153,S-WONEN'S HEALTH,1,42.0,52.5,0,0.0,2.0,150.0,RIDGEMEDICAL ASSOCIATES,0
153,154,VSCAN,2,54.0,67.5,0,0.0,3.0,225.0,LABOR & DELIVERY,0
154,155,IE33,73,166.02739726027397,207.53424657534245,2,154.56068493150684,3.0,225.0,CARDIAC SERVICES NON-INVASIVE,0
155,156,LOGIQ 7,16,166.875,208.59375,0,0.0,3.0,225.0,ULTRASOUND,0
156,157,LOGIQ 7,26,144.23076923076923,180.28846153846152,0,0.0,3.0,225.0,ULTRASOUND,0
157,158,SONARA,4,172.5,215.625,0,0.0,3.0,225.0,ULTRASOUND,0
158,159,SITE RITE 5,10,118.8,148.5,0,0.0,3.0,225.0,INTENSIVE CARE UNIT,0
159,160,M-TURBO,3,60.0,75.0,0,0.0,3.0,225.0,EMERGENCY DEPARTMENT,0
160,161,MU-4,2,45.0,56.25,1,0.0,3.0,225.0,PHYSICAL THERAPY,0
161,162,IE33,8,90.0,112.5,0,0.0,3.0,225.0,CARDIAC SERVICES NON-INVASIVE,0
162,163,EDGE,4,82.5,103.125,0,0.0,0.0,0.0,RADIOLOGY SPECIAL PROCEDURES,0
163,164,IE33,50,83.16,103.94999999999999,1,116.28,0.0,0.0,PEDIATRIC SUB SPECIALTY,0
164,165,VIVIDQ,23,88.17391304347827,110.21739130434784,1,35.74782608695652,0.0,0.0,PEDIATRIC CARDIOLOGY,0
165,166,EU-M30,7,49.0,61.25,1,0.0,0.0,0.0,ENDOSCOPY,0
166,167,EV-MEI,4,67.5,84.375,0,0.0,0.0,0.0,ENDOSCOPY,0
167,168,2101FALCON,16,109.5,136.875,1,21.25,0.0,0.0,ENDOSCOPY,0
168,169,SEQUOIA C256,39,87.23076923076923,109.03846153846153,2,145.5897435897436,0.0,0.0,PEDIATRICS,0
169,170,SSD-ALPHA5,9,94.0,117.5,1,90.0,0.0,0.0,ENDOSCOPY,0
147,148,EPIQ 7C,1,60.0,75.0,0,0.0,1.0,75.0,PEDIATRIC CARDIOLOGY,0
98,99,S SERIES,10,100.8,126.0,0,0.0,1.0,75.0,ANESTHESIA,0
195,196,EPIQ 7C,4,288.0,360.0,0,0.0,0.0,0.0,PEDIATRIC CARDIOLOGY,0
96,97,HI VISION 900,9,106.66666666666667,133.33333333333334,0,0.0,1.0,75.0,ENDOSCOPY SUITE,0
25,26,VOLUSON E8 EXPERT,29,89.37931034482759,111.72413793103449,1,0.0,2.0,150.0,Maternal Fetal Medicine,0
26,27,VOLUSON E8 EXPERT,19,96.63157894736842,120.78947368421053,0,326.31315789473683,2.0,150.0,Maternal Fetal Medicine,0
27,28,ACCUVIX A30,6,110.0,137.5,0,0.0,2.0,150.0,MATERNAL FETAL MED,0
28,29,SONOACE R7,1,90.0,112.5,0,0.0,2.0,150.0,MATERNAL FETAL MED,0
30,31,HD11XE,2,105.0,131.25,0,0.0,2.0,150.0,VASCULAR IMAGING ,0
31,32,LOGIQ E9,1,0.0,0.0,0,0.0,2.0,150.0,OUTPATIENT IMAGING CENTER,0
32,33,VOLUSION E10,3,100.0,125.0,0,0.0,2.0,150.0,Maternal Fetal Medicine,0
33,34,LOGIQ E,6,145.0,181.25,0,0.0,0.0,0.0,RHEUMATOLOGY,0
34,35,X300,4,105.0,131.25,1,0.0,2.0,150.0,CARDIOLOGY CNT,0
24,25,LOGIQ 200 PRO,9,38.666666666666664,48.33333333333333,1,0.0,2.0,150.0,Maternal Fetal Medicine,0
36,37,X300,10,163.33333333333334,204.16666666666669,0,0.0,2.0,150.0,CARDIOLOGY CNT,0
38,39,LOGIQ P5,3,90.0,112.5,0,0.0,2.0,150.0,WOMEN'S HEALTH CARE ASSOCIATES,0
39,40,S NERVE,1,36.0,45.0,0,0.0,1.0,75.0,ANESTHESIA,0
40,41,S SERIES,6,133.0,166.25,0,0.0,1.0,75.0,ANESTHESIA,0
41,42,ANTARES 5936518,4,97.5,121.875,0,0.0,2.0,150.0, RADIOLOGY,0
42,43,LOGIQ E,4,97.5,121.875,0,0.0,2.0,150.0,SURGICAL ASSOCIATES ,0
43,44,MYLAB 30CV,3,50.0,62.5,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
44,45,MYLAB50X VISION,7,125.14285714285714,156.42857142857144,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
45,46,S SERIES,1,42.0,52.5,0,0.0,2.0,150.0,INSTITUTE OF BIOSKILLS,0
46,47,VOLUSON E8 EXPERT,8,97.5,121.875,0,0.0,2.0,150.0,Maternal Fetal Medicine,0
37,38,LOGIQ E,6,86.4,108.00000000000001,0,0.0,1.0,75.0,BREAST SURGERY CTR,0
47,48,SONOS 5500,1,150.0,187.5,0,0.0,2.0,150.0,ADVANCED CARDIOLOGY ,0
23,24,VOLUSON 730 EXP,41,75.36585365853658,94.20731707317073,0,177.38243902439024,2.0,150.0,Maternal Fetal Medicine,0
21,22,LOGIQ 200A,17,62.470588235294116,78.08823529411765,1,95.96235294117646,2.0,150.0,Maternal Fetal Medicine,0
1,2,ASPEN,1,24.0,30.0,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
2,3,IE33,4,210.0,262.5,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
3,4,BVI 9400,9,54.666666666666664,68.33333333333333,1,0.0,2.0,150.0,REHAB CENTER,0
4,5,BVI 9400,1,102.0,127.5,0,0.0,2.0,150.0,REHAB CENTER,0
5,6,X300,6,215.0,268.75,0,0.0,2.0,150.0,CARDIOLOGY CNT,0
6,7,X300 PREMIUM EDITIO,19,156.31578947368422,195.3947368421053,0,300.0,2.0,150.0,HEART GROUP,0
7,8,LOGIQ E,1,90.0,112.5,0,0.0,2.0,150.0,SPORTS MED,0
8,9,LOGIQ9 2404587,57,90.21052631578948,112.76315789473685,2,35.89982456140351,1.0701754385964912,80.26315789473684,ULTRASOUND,0
9,10,LOGIQ9 2404587,42,100.42857142857143,125.53571428571429,2,32.389761904761905,1.0714285714285714,80.35714285714286,ULTRASOUND,0
22,23,VOLUSON 730 EXP,46,99.3913043478261,124.23913043478262,1,152.17391304347825,2.0,150.0,Maternal Fetal Medicine,0
10,11,LOGIQ E9,28,107.57142857142857,134.46428571428572,0,9.633928571428571,1.1785714285714286,88.39285714285714,ULTRASOUND,0
12,13,S NERVE,4,79.5,99.375,0,0.0,1.0,75.0,ANESTHESIA,0
13,14,VIVID 7,4,112.5,140.625,0,0.0,2.0,150.0,CARD ASSOC,0
14,15,VIVID 7,14,138.42857142857142,173.03571428571428,0,315.57142857142856,2.0,150.0,CARD ASSOC,0
15,16,VIVIDQ,1,0.0,0.0,0,0.0,2.0,150.0,CARD ASSOC,0
16,17,SEQUOIA C512,7,107.14285714285714,133.92857142857142,0,0.0,2.0,150.0,CV IMAGING,0
17,18,VIVID E9,5,84.0,105.0,0,0.0,2.0,150.0,CARD ASSOC,0
18,19,LOGIQ S8,19,101.36842105263158,126.71052631578947,0,0.0,1.0,75.0,CARDIAC NON-INVASIVE,0
19,20,LOGIQ P5,6,61.0,76.25,0,0.0,2.0,150.0,Maternal Fetal Medicine,0
20,21,LOGIQ E,14,89.57142857142857,111.96428571428572,0,0.0,1.4285714285714286,107.14285714285714,CARD ASSOC,0
11,12,M2540A ENVISOR,12,167.5,209.375,0,0.0,2.0,150.0,CARD ASSOC,0
194,195,FLEX FOCUS 500,1,90.0,112.5,0,0.0,0.0,0.0,ENDOSCOPY,0
48,49,LOGIQ E,4,75.0,93.75,0,0.0,2.0,150.0,CARD ASSOC,0
50,51,HD11XE,1,6.0,7.5,0,0.0,2.0,150.0,ADVANCED CARDIOLOGY,0
75,76,S-CATH,39,80.3076923076923,100.38461538461537,2,0.0,1.0,75.0,X-RAY SPECIAL PROCEDURES,0
76,77,TITAN,42,107.71428571428571,134.64285714285714,3,21.815238095238094,1.0,75.0,X-RAY SPECIAL PROCEDURES,0
77,78,VIVID 7,80,104.7,130.875,4,46.976625,1.0,75.0,PEDIATRIC CARDIOLOGY,0
78,79,IE33,52,121.73076923076923,152.16346153846152,0,211.69230769230768,1.0,75.0,PEDIATRIC CARDIOLOGY,0
79,80,VIVID-I,49,129.79591836734693,162.24489795918365,1,45.00224489795919,1.0,75.0,PEDIATRIC CARDIOLOGY,0
80,81,VIVID E9,35,91.71428571428571,114.64285714285714,0,9.718,1.0,75.0,PEDIATRIC CARDIOLOGY,0
81,82,VIVID 7,33,90.72727272727273,113.40909090909092,0,0.0,1.0,75.0,PEDIATRIC CARDIOLOGY,0
82,83,VOLUSON E8,17,72.3529411764706,90.44117647058825,0,0.0,1.0,75.0,PEDIATRIC CARDIOLOGY,0
83,84,IE33,16,102.0,127.5,0,0.0,1.0,75.0,PEDIATRIC CARDIOLOGY,0
84,85,LOGIQ I,53,82.75471698113208,103.4433962264151,2,9.812830188679245,1.0,75.0,ULTRASOUND,0
85,86,LOGIQ9 2404587,67,84.80597014925372,106.00746268656715,3,71.50805970149256,1.0,75.0,ULTRASOUND,0
86,87,SEQUOIA 512,39,110.76923076923077,138.46153846153848,2,54.97435897435897,1.1794871794871795,88.46153846153847,PEDIATRIC CARDIOLOGY,0
87,88,LOGIQ E9,52,112.26923076923077,140.33653846153845,0,18.615384615384617,1.0,75.0,ULTRASOUND,0
88,89,LOGIQ E9,28,102.0,127.5,0,17.428571428571427,1.0,75.0,RADIOLOGY,0
89,90,S SERIES,4,48.0,60.0,0,8.125,1.0,75.0,CLINIC - AMBULATORY SERV,0
90,91,SSA-550A-2,10,123.0,153.75,0,0.0,1.0,75.0,EMERGENCY DEPARTMENT,0
91,92,M-TURBO,7,95.14285714285714,118.92857142857142,0,0.0,1.0,75.0,EMERGENCY DEPARTMENT,0
92,93,BVI 9400,1,12.0,15.0,0,0.0,1.0,75.0,EMERGENCY DEPARTMENT,0
93,94,LOGIQ E,13,75.6923076923077,94.61538461538461,1,0.0,1.0,75.0,EMERGENCY DEPARTMENT,0
94,95,LOGIQ S6,40,75.6,94.5,0,0.0,1.0,75.0,RADIOLOGY - MAMMOGRAPHY,0
95,96,LOGIQ P6,22,69.54545454545455,86.93181818181819,0,0.0,1.0,75.0,RADIOLOGY - MAMMOGRAPHY,0
74,75,S-CATH,3,110.0,137.5,0,0.0,1.0,75.0,CARDIAC ELECTROPHYSIOLOGY,0
73,74,LOGIQ P5,15,106.8,133.5,0,0.0,1.0,75.0,LABOR AND DELIVERY,0
72,73,VOLUSON I BT11,25,90.24,112.8,0,0.0,2.0,150.0,Maternal Fetal Medicine,0
71,72,2270969,8,79.5,99.375,0,0.0,1.0,75.0,LABOR AND DELIVERY,0
51,52,IE33,3,124.0,155.00000000000003,0,66.66666666666667,2.0,150.0,CARDIOVASCULAR IMAGING,0
52,53,IE33,3,188.0,235.0,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
53,54,IE33,1,60.0,75.0,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
54,55,IE33,3,180.0,225.0,0,0.0,2.0,150.0,MEDICAL INST ,0
56,57,X300,1,6.0,7.5,0,0.0,2.0,150.0,CARD ASSOC,0
57,58,IE33,1,0.0,0.0,0,0.0,2.0,150.0,CARDIOVASCULAR IMAGING,0
58,59,VIVID E9,2,255.0,318.75,0,0.0,2.0,150.0,CARDIAC IMAGING ,0
59,60,LOGIQ S8,23,129.1304347826087,161.41304347826085,0,0.0,2.0,150.0,ULTRASOUND,0
60,61,ANTARES 5936518,25,127.2,159.0,0,0.0,2.0,150.0,ULTRASOUND,0
49,50,IE33,11,158.72727272727272,198.4090909090909,0,86.36363636363636,2.0,150.0,CARDIOVASCULAR IMAGING,0
61,62,ANTARES 5936518,15,142.0,177.5,0,0.0,2.0,150.0,ULTRASOUND,0
63,64,M-TURBO,2,60.0,75.0,0,0.0,2.0,150.0,ER,0
64,65,IE33,11,94.9090909090909,118.63636363636364,0,0.0,2.0,150.0,EKG,0
65,66,HD15,4,67.5,84.375,0,0.0,2.0,150.0,EKG,0
66,67,LOGIQ E,5,115.2,144.0,0,0.0,2.0,150.0,OPERATING ROOM,0
67,68,LOGIQ E9,3,110.0,137.5,0,0.0,2.0,150.0,BREAST CENTER,0
68,69,EDGE,2,105.0,131.25,0,0.0,2.0,150.0,ULTRASOUND,0
69,70,EDGE,1,60.0,75.0,0,0.0,1.0,75.0,INTENSIVE CARE UNIT,0
70,71,S-ICU,1,36.0,45.0,0,0.0,1.0,75.0,PEDIATRIC INTENSIVE CARE,0
62,63,ACUSON S2000,16,85.6,106.99999999999999,0,0.0,2.0,150.0,BREAST CENTER,0
35,36,SEQUOIA C512,7,120.0,150.0,1,734.0,2.0,150.0,CARDIOLOGY CNT,1
55,56,CX50,1,480.0,600.0,0,500.0,2.0,150.0,CARD ASSOC,1
29,30,LOGIQ 7,18,142.0,177.5,0,575.3777777777777,2.0,150.0,RADIOLGY ASSOC,1
97,98,IE33,24,164.25,205.3125,0,1420.1666666666667,1.0,75.0,ANESTHESIA,1
